customer_id,customer_bod,gender,phone_flag,student,employment,credit_card,balance,income,tenure,default
8300,1993-08-17,Female,1.0,No,Self Employed,1.0,87104.12,5015120.75,4yrs 4mon,0
672,2007-12-17,Female,1.0,Yes,,0.0,89236.34,2266076.58,4yrs 1mon,0
5670,2000-02-05,Female,1.0,Yes,,0.0,171553.12,1779347.34,0yrs 9mon,0
2975,1999-11-16,Female,1.0,Yes,,0.0,85979.04,2014246.24,1yrs 8mon,0
3883,1977-08-18,Male,1.0,No,Salaried,0.0,48874.77,5445148.31,0yrs 10mon,0
7825,2002-04-18,Male,1.0,Yes,,0.0,0.0,2390347.61,0yrs 0mon,0
6676,1995-08-17,,1.0,No,Salaried,1.0,38546.17,5190882.42,1yrs 1mon,0
7991,1984-04-16,Male,1.0,No,Salaried,0.0,0.0,7112035.3,0yrs 0mon,0
9412,1998-12-27,Female,1.0,No,Salaried,1.0,103848.03,6455858.31,2yrs 6mon,0
9464,1981-03-12,Female,1.0,No,Salaried,0.0,0.0,3444624.3,0yrs 0mon,0
10000,1999-12-12,Female,1.0,Yes,,0.0,24110.66,2023554.28,0yrs 8mon,0
7453,1999-10-11,Female,1.0,Yes,Self Employed,0.0,122357.73,324357.88,0yrs 8mon,0
1993,1999-02-10,Male,1.0,No,Salaried,0.0,58304.27,1705644.67,0yrs 7mon,0
4527,2002-03-04,Male,1.0,No,Salaried,1.0,93416.96,4723219.69,3yrs 3mon,0
3952,1994-03-23,Female,1.0,No,Self Employed,1.0,0.0,5343101.92,0yrs 0mon,0
4269,1999-05-12,Male,0.0,No,Salaried,0.0,0.0,3808925.47,0yrs 0mon,0
9319,2007-03-24,Male,1.0,Yes,,0.0,118228.91,2071650.78,0yrs 8mon,0
1216,1970-02-24,Male,1.0,No,Self Employed,0.0,153408.88,4401072.83,2yrs 1mon,1
5396,2003-07-05,,1.0,Yes,,0.0,129920.95,2690106.74,1yrs 2mon,0
8888,2002-07-25,Female,0.0,Yes,,0.0,145530.8,1646748.1,5yrs 8mon,0
7812,1994-06-22,Female,1.0,No,Self Employed,0.0,242978.43,7696251.73,0yrs 6mon,1
6824,2002-04-26,Male,1.0,No,Salaried,0.0,127357.3,4073114.37,2yrs 6mon,0
4774,2001-03-03,Female,1.0,Yes,,0.0,80708.17,2734604.09,0yrs 8mon,0
5492,1995-06-13,Female,0.0,No,Salaried,0.0,251536.37,5999103.58,3yrs 0mon,0
9447,1985-07-06,Male,1.0,No,Salaried,0.0,4641.49,3715409.07,0yrs 7mon,0
3988,1997-08-22,Female,0.0,No,Salaried,0.0,47966.83,5189239.93,0yrs 4mon,0
9278,1986-01-09,Male,1.0,No,Self Employed,1.0,34743.78,4421039.78,2yrs 2mon,0
4061,2007-10-21,Female,1.0,Yes,,0.0,265922.12,2509403.48,1yrs 7mon,1
3361,1999-02-11,Female,0.0,Yes,,0.0,120049.9,1688521.02,1yrs 1mon,0
9798,1985-06-11,Male,0.0,No,Salaried,0.0,47988.22,4903573.81,1yrs 5mon,0
5992,1981-06-21,Male,1.0,No,Salaried,0.0,79383.38,7022383.17,1yrs 8mon,0
6613,1994-05-22,Female,0.0,No,Self Employed,1.0,220664.56,3855520.78,1yrs 1mon,1
4765,1995-03-28,Male,1.0,No,Self Employed,1.0,133402.98,5239088.47,2yrs 7mon,0
5293,1999-06-05,Female,0.0,Yes,,0.0,106368.18,1679506.75,2yrs 6mon,0
3880,2001-01-03,Male,0.0,No,Salaried,1.0,37902.07,5679477.93,0yrs 4mon,0
7097,2001-05-24,Male,1.0,No,Salaried,0.0,193163.86,7214835.28,0yrs 5mon,0
3635,1995-05-21,Female,1.0,No,Salaried,1.0,121805.45,3723169.56,2yrs 9mon,0
1358,1999-09-12,Female,1.0,No,Self Employed,0.0,95338.41,5297425.9,0yrs 5mon,0
8605,1997-02-08,Female,0.0,No,Salaried,1.0,97412.39,5529156.27,2yrs 5mon,0
7676,1995-07-15,Male,1.0,No,Salaried,0.0,207613.25,5852016.11,1yrs 11mon,0
8546,1995-05-17,Male,1.0,No,Salaried,0.0,0.0,5397738.03,0yrs 0mon,0
8155,1996-09-22,Female,1.0,No,Salaried,0.0,32431.69,5037365.75,3yrs 9mon,0
6524,1994-04-21,Male,0.0,No,Salaried,0.0,118756.36,3278273.25,1yrs 3mon,0
9556,1988-12-12,Female,0.0,No,Self Employed,0.0,85216.38,5556992.36,0yrs 5mon,0
663,1990-08-05,,0.0,No,Salaried,0.0,69130.95,4521563.83,1yrs 3mon,0
9825,1995-10-07,Female,0.0,No,Self Employed,0.0,88110.41,6750457.23,1yrs 9mon,0
9716,1993-11-10,Male,0.0,No,Salaried,0.0,229930.62,2797988.43,0yrs 8mon,0
5050,2001-02-12,Female,0.0,No,Salaried,1.0,234520.0,4208104.19,2yrs 1mon,1
7998,1987-07-12,,1.0,No,Salaried,0.0,71167.23,5734511.51,2yrs 0mon,0
3068,1967-10-10,Male,1.0,No,Salaried,0.0,76910.21,4476803.28,2yrs 4mon,0
7,1986-05-11,Female,1.0,No,Salaried,0.0,99061.6,2988627.19,4yrs 11mon,0
1957,1987-03-25,Male,1.0,No,Salaried,1.0,32758.54,7627963.92,2yrs 11mon,0
